condition,seed,beta,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
drift,46,0.3,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
drift,47,0.0,0.00108283219387494,1.0370243062108826,0.016,0.004591143784742272,0.004511189764398344
drift,47,0.05,0.0012451426721638201,1.1928376150909379,0.018444444444444447,0.0056133890137505665,0.005606509172128219
drift,47,0.1,0.0014203551995417198,1.3585455451610309,0.015555555555555555,0.005242849981507033,0.005245081965950069
drift,47,0.15,0.0014861933245252398,1.421782003201173,0.013111111111111113,0.004160446020613184,0.004150737182438035
drift,47,0.2,0.0015133657280415199,1.4484534865186804,0.009333333333333334,0.003353757931985805,0.0033451657014144085
drift,47,0.3,0.0014965043709122398,1.4330072042860453,0.006444444444444445,0.002991918941369833,0.002991036809278161
drift,48,0.0,0.00171112593161326,1.6832344332139677,0.03377777777777778,0.012347053922104178,0.012199090338700487
drift,48,0.05,0.0025571652234957,2.5117336471187177,0.03666666666666667,0.013152766100703867,0.013018241969963222
drift,48,0.1,0.0032947433971031196,3.1632923758292235,0.036888888888888895,0.013245404892380061,0.01315036323885935
drift,48,0.15,0.00246611429677076,2.388187190837796,0.03444444444444445,0.011865835074920722,0.011769734417533078
drift,48,0.2,0.0017637929057690402,1.6863644185513642,0.02955555555555556,0.009823429410563857,0.009677225197225595
drift,48,0.3,0.0015392943702791,1.4591356204328574,0.021777777777777774,0.007440648323804384,0.007292269713594062
drift,49,0.0,0.00208536076879034,2.0322937118917737,0.015333333333333338,0.0047839307098766605,0.004611418608715404
drift,49,0.05,0.00302617133517994,2.9393161139285104,0.022,0.006525423969954711,0.006198871246587912
drift,49,0.1,0.00496847556094722,4.583510485615655,0.02733333333333334,0.008606161826326661,0.00808830373733197
drift,49,0.15,0.00505282554288666,4.652528580467213,0.02488888888888889,0.008798732175184195,0.008268260075301629
drift,49,0.2,0.0050935236052588794,4.699388932313063,0.024222222222222225,0.008743313702145225,0.008193744462449894
drift,49,0.3,0.00496322309180132,4.586857073031252,0.02266666666666667,0.008069634677082377,0.007556071833055416
drift,50,0.0,0.00111078119948778,1.063376042716158,0.005777777777777778,0.0022312435022493336,0.0022114421352031092
drift,50,0.05,0.0011910100042709201,1.1355253081789507,0.006444444444444445,0.002404585849971861,0.002385190267351282
drift,50,0.1,0.00143530030729384,1.3664327804609937,0.013333333333333336,0.003860067226070789,0.003860949562308605
drift,50,0.15,0.0015209974270352401,1.4466474923692367,0.015333333333333334,0.004232124799693628,0.004222064103539368
drift,50,0.2,0.0016041595703613202,1.5206372988057637,0.017555555555555557,0.0035598419690226995,0.003530868419830895
drift,50,0.3,0.0016031659631396199,1.5194842167526081,0.00888888888888889,0.0029350337867687054,0.0029066775010383726
drift,51,0.0,0.0011393087218892002,1.0938878175575144,0.026222222222222227,0.008967260762442968,0.009044811943509333
drift,51,0.05,0.00145254756042436,1.3894941581163747,0.027777777777777783,0.009680635386225577,0.009744862855542803
drift,51,0.1,0.0020052424723855998,1.9195153178288087,0.027555555555555555,0.009666571365422266,0.009719291151680824
drift,51,0.15,0.0019856874924503603,1.8979822868330174,0.027333333333333338,0.009650386317445492,0.009697976894781097
drift,51,0.2,0.0019193260796361601,1.8329809782853186,0.027777777777777783,0.009606103172093948,0.009649110195574873
drift,51,0.3,0.0016469125667426803,1.5712282037102852,0.03133333333333334,0.00992071463317136,0.009869799305372493
